
Replication	FitnessValue	Frequency	Bus1	Bus2	Bus3	Bus4	Bus5	Bus6	Bus1_P	Bus2_P	Bus3_P	Bus4_P	Bus5_P	Bus6_P	Bus1_Q	Bus2_Q	Bus3_Q	Bus4_Q	Bus5_Q	Bus6_Q	PLoss	QLoss
Replication0	 -1.54114	0.99826	0.99270 	0.99498 	0.99542 	1.00038 	1.00623 	1.00081 	-0.14971 	-0.15323 	-0.14592 	0.10372 	0.23042 	0.11699 	-0.04928 	-0.05043 	-0.04803 	0.04095 	0.07584 	0.03786 	0.00228	0.00691
Replication1	 -1.53811	0.99784	0.98939 	0.99221 	0.99196 	0.99835 	1.00295 	0.99850 	-0.16282 	-0.15425 	-0.17206 	0.12648 	0.21927 	0.14589 	-0.05364 	-0.05081 	-0.05668 	0.04875 	0.07223 	0.04789 	0.00250	0.00774
Replication2	 -1.54181	0.99698	0.98398 	0.98617 	0.98657 	0.99416 	0.99333 	0.99406 	-0.14563 	-0.17690 	-0.16480 	0.17347 	0.11325 	0.20282 	-0.04806 	-0.05838 	-0.05438 	0.06473 	0.03737 	0.06574 	0.00220	0.00703
Replication3	 -1.54619	0.99778	0.99041 	0.99180 	0.99217 	0.99826 	1.00086 	0.99827 	-0.12890 	-0.16380 	-0.14918 	0.12828 	0.16620 	0.14928 	-0.04247 	-0.05397 	-0.04915 	0.04826 	0.05476 	0.04840 	0.00188	0.00583
Replication4	 -1.54642	0.99747	0.98667 	0.98948 	0.99153 	0.99628 	0.99701 	0.99711 	-0.15037 	-0.17223 	-0.11295 	0.14863 	0.12283 	0.16593 	-0.04957 	-0.05678 	-0.03724 	0.05768 	0.04049 	0.05128 	0.00185	0.00587
Replication5	 -1.52852	0.99788	0.98736 	0.99204 	0.99240 	0.99796 	1.00439 	0.99881 	-0.20492 	-0.15689 	-0.16974 	0.12875 	0.26356 	0.14248 	-0.06750 	-0.05168 	-0.05591 	0.05224 	0.08682 	0.04604 	0.00323	0.01000
Replication6	 -1.53722	0.99807	0.98781 	0.99525 	0.99393 	0.99911 	1.00372 	0.99991 	-0.22077 	-0.06969 	-0.16437 	0.11667 	0.21184 	0.12887 	-0.07269 	-0.02295 	-0.05412 	0.04704 	0.06975 	0.04108 	0.00255	0.00811
Replication7	 -1.53823	0.99755	0.98658 	0.99064 	0.98981 	0.99687 	0.99981 	0.99695 	-0.17856 	-0.13577 	-0.18247 	0.14286 	0.19081 	0.16559 	-0.05886 	-0.04475 	-0.06014 	0.05452 	0.06289 	0.05422 	0.00247	0.00788
Replication8	 -1.53936	0.99711	0.98274 	0.98705 	0.98831 	0.99431 	0.99467 	0.99507 	-0.18259 	-0.16616 	-0.14356 	0.16997 	0.13336 	0.19136 	-0.06024 	-0.05482 	-0.04736 	0.06590 	0.04399 	0.06017 	0.00238	0.00766
Replication9	 -1.54469	0.99759	0.98829 	0.99045 	0.99108 	0.99715 	0.99914 	0.99736 	-0.14353 	-0.16533 	-0.14781 	0.14001 	0.15745 	0.16120 	-0.04731 	-0.05449 	-0.04872 	0.05316 	0.05189 	0.05171 	0.00199	0.00625
Replication10	 -1.53393	0.99825	0.99117 	0.99380 	0.99633 	0.99972 	1.00706 	1.00107 	-0.17122 	-0.19300 	-0.11823 	0.10882 	0.26147 	0.11499 	-0.05636 	-0.06353 	-0.03891 	0.04578 	0.08606 	0.03552 	0.00283	0.00857
Replication11	 -1.53898	0.99663	0.97973 	0.98333 	0.98568 	0.99184 	0.98885 	0.99264 	-0.16722 	-0.19075 	-0.12460 	0.19727 	0.06492 	0.22279 	-0.05522 	-0.06299 	-0.04114 	0.07587 	0.02144 	0.06975 	0.00241	0.00770
Replication12	 -1.53555	0.99786	0.98734 	0.99245 	0.99290 	0.99797 	1.00290 	0.99890 	-0.19998 	-0.13864 	-0.15284 	0.12896 	0.22311 	0.14207 	-0.06587 	-0.04567 	-0.05035 	0.05190 	0.07349 	0.04492 	0.00268	0.00843
Replication13	 -1.53674	0.99891	0.99637 	0.99897 	1.00064 	1.00318 	1.01232 	1.00440 	-0.15798 	-0.15489 	-0.11113 	0.07097 	0.28365 	0.07200 	-0.05193 	-0.05091 	-0.03653 	0.03157 	0.09324 	0.02234 	0.00263	0.00778
Replication14	 -1.53405	0.99753	0.98376 	0.98944 	0.99209 	0.99583 	0.99944 	0.99760 	-0.21450 	-0.17143 	-0.11561 	0.15099 	0.19292 	0.16042 	-0.07070 	-0.05651 	-0.03811 	0.06216 	0.06359 	0.04844 	0.00279	0.00887
Replication15	 -1.53229	0.99909	0.99836 	1.00055 	1.00062 	1.00438 	1.01472 	1.00498 	-0.15179 	-0.13775 	-0.14486 	0.05856 	0.31594 	0.06289 	-0.04988 	-0.04526 	-0.04760 	0.02589 	0.10382 	0.02170 	0.00299	0.00866
Replication16	 -1.54163	0.99831	0.99348 	0.99570 	0.99527 	1.00084 	1.00669 	1.00094 	-0.14512 	-0.13852 	-0.15991 	0.09929 	0.23181 	0.11468 	-0.04776 	-0.04559 	-0.05263 	0.03847 	0.07629 	0.03801 	0.00224	0.00679
Replication17	 -1.54286	0.99847	0.99346 	0.99614 	0.99808 	1.00109 	1.00748 	1.00225 	-0.15447 	-0.15940 	-0.10631 	0.09457 	0.22768 	0.10007 	-0.05082 	-0.05244 	-0.03498 	0.03937 	0.07491 	0.03048 	0.00214	0.00651
Replication18	 -1.52264	0.99706	0.98098 	0.98555 	0.98683 	0.99364 	0.99751 	0.99455 	-0.21679 	-0.20229 	-0.17992 	0.17598 	0.22972 	0.19698 	-0.07153 	-0.06674 	-0.05936 	0.07001 	0.07579 	0.06339 	0.00366	0.01155
Replication19	 -1.53232	0.99797	0.99189 	0.99270 	0.99152 	0.99930 	1.00549 	0.99874 	-0.13917 	-0.17271 	-0.20459 	0.11690 	0.26165 	0.14088 	-0.04583 	-0.05688 	-0.06738 	0.04392 	0.08617 	0.04888 	0.00296	0.00888
Replication20	 -1.54176	0.99846	0.99513 	0.99630 	0.99647 	1.00156 	1.00807 	1.00171 	-0.13006 	-0.15599 	-0.14883 	0.09129 	0.24093 	0.10491 	-0.04279 	-0.05132 	-0.04897 	0.03567 	0.07927 	0.03480 	0.00224	0.00666
Replication21	 -1.54164	0.99838	0.99307 	0.99603 	0.99650 	1.00091 	1.00708 	1.00154 	-0.15768 	-0.14025 	-0.13818 	0.09751 	0.23279 	0.10804 	-0.05189 	-0.04615 	-0.04547 	0.03919 	0.07660 	0.03452 	0.00224	0.00681
Replication22	 -1.54577	0.99751	0.98761 	0.99019 	0.99064 	0.99681 	0.99802 	0.99700 	-0.14617 	-0.15550 	-0.14726 	0.14391 	0.14104 	0.16589 	-0.04818 	-0.05126 	-0.04854 	0.05444 	0.04649 	0.05309 	0.00190	0.00604
Replication23	 -1.52796	0.99598	0.97264 	0.97999 	0.98011 	0.98842 	0.98188 	0.98892 	-0.21709 	-0.13059 	-0.16688 	0.23467 	0.01425 	0.26888 	-0.07178 	-0.04318 	-0.05518 	0.08978 	0.00471 	0.08622 	0.00323	0.01056
Replication24	 -1.53110	0.99813	0.99230 	0.99336 	0.99328 	0.99978 	1.00699 	0.99975 	-0.14708 	-0.18429 	-0.18199 	0.11059 	0.27700 	0.12883 	-0.04842 	-0.06067 	-0.05992 	0.04313 	0.09120 	0.04379 	0.00306	0.00910
Replication25	 -1.54093	0.99811	0.99266 	0.99418 	0.99356 	0.99998 	1.00518 	0.99979 	-0.13682 	-0.15157 	-0.17229 	0.10929 	0.22483 	0.12884 	-0.04505 	-0.04990 	-0.05672 	0.04138 	0.07402 	0.04323 	0.00229	0.00696
Replication26	 -1.54276	0.99811	0.99250 	0.99375 	0.99433 	0.99977 	1.00473 	0.99997 	-0.13324 	-0.16896 	-0.14738 	0.11103 	0.21321 	0.12750 	-0.04387 	-0.05563 	-0.04853 	0.04283 	0.07020 	0.04152 	0.00215	0.00652
Replication27	 -1.54292	0.99793	0.98883 	0.99258 	0.99469 	0.99833 	1.00228 	0.99959 	-0.17193 	-0.16168 	-0.10977 	0.12494 	0.18598 	0.13458 	-0.05663 	-0.05325 	-0.03615 	0.05058 	0.06126 	0.04085 	0.00212	0.00666
Replication28	 -1.53754	0.99843	0.99256 	0.99617 	0.99685 	1.00093 	1.00805 	1.00182 	-0.17355 	-0.14184 	-0.13820 	0.09648 	0.25508 	0.10458 	-0.05710 	-0.04667 	-0.04547 	0.03986 	0.08393 	0.03321 	0.00255	0.00775
Replication29	 -1.53059	0.99687	0.98204 	0.98412 	0.98567 	0.99313 	0.99471 	0.99349 	-0.16954 	-0.22530 	-0.17253 	0.18320 	0.17707 	0.21016 	-0.05596 	-0.07436 	-0.05695 	0.07042 	0.05844 	0.06799 	0.00306	0.00959
Replication30	 -1.51874	0.99744	0.98326 	0.98888 	0.98847 	0.99567 	1.00168 	0.99632 	-0.23140 	-0.16217 	-0.20598 	0.15374 	0.27646 	0.17331 	-0.07629 	-0.05346 	-0.06791 	0.06168 	0.09115 	0.05726 	0.00397	0.01243
Replication31	 -1.55391	0.99770	0.99175 	0.99199 	0.99148 	0.99836 	0.99790 	0.99768 	-0.08915 	-0.14132 	-0.14732 	0.12895 	0.09405 	0.15609 	-0.02938 	-0.04657 	-0.04855 	0.04601 	0.03099 	0.05154 	0.00128	0.00406
